company,location,launch_date,rocket,mission,rocket_status,price,mission_status
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia",1990-04-28,Molniya-M /Block 2BL,Cosmos 2076,Retired,,Success
RVSN USSR,"Site 45/2, Baikonur Cosmodrome, Kazakhstan",1990-05-22,Zenit-2,Cosmos 2082,Retired,,Success
Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA",1990-06-01,Delta II 6920-10,ROSAT,Retired,,Success
Martin Marietta,"SLC-41, Cape Canaveral AFS, Florida, USA",1990-06-08,Titan IV(405)A,SLDCOM & NOSS 3x,Retired,,Success
Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA",1990-06-12,Delta 4925-8,INSAT 1D,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",1990-06-13,Molniya-M /Block ML,Molniya-3 n†­143,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",1990-06-21,Molniya-M /Block 2BL,Cosmos 2084,Retired,,Partial Failure
Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",1990-06-23,Commercial Titan III,Intelsat 604,Retired,136.6,Success
RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia",1990-06-25,Tsyklon-3,Meteor-2 n†­19,Retired,,Success
CASC,"LC-2, Xichang Satellite Launch Center, China",1990-07-16,Long March 2E,"Optus-B, Badr-1, mass simulator",Retired,,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1990-07-24,Ariane 44L,"TDF-2, DFS-2",Retired,,Success
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia",1990-07-25,Molniya-M /Block 2BL,Cosmos 2087,Retired,,Success
General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA",1990-07-25,Atlas I,CRRES,Retired,,Success
RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia",1990-07-30,Tsyklon-3,Cosmos 2088,Retired,,Success
RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia",1990-08-08,Tsyklon-3,Cosmos 2090 to 2095,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1990-08-10,Molniya-M /Block ML,Molniya-1 n†­144,Retired,,Success
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",1990-08-23,Tsyklon-2,Cosmos 2096,Retired,,Success
